REPORT_RECEIVED_DATE,IYEAR,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,FLOW_CONT_KEY_CRIT_IND,FLOW_CONT_SERVICE_VALVE_IND,FLOW_CONT_METER_REG_IND,FLOW_CONT_SQUEEZE_OFF_IND,FLOW_CONT_STOPPLE_FITNG_IND,FLOW_CONT_OTHER_IND,FLOW_CONT_OTHER_DETAIL,NRC_RPT_DATETIME,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,FATALITY_IND,NUM_EMP_FATALITIES,NUM_CONTR_FATALITIES,NUM_ER_FATALITIES,NUM_WORKER_FATALITIES,NUM_GP_FATALITIES,FATAL,INJURY_IND,NUM_EMP_INJURIES,NUM_CONTR_INJURIES,NUM_ER_INJURIES,NUM_WORKER_INJURIES,NUM_GP_INJURIES,INJURE,IGNITE_IND,IGNITE_DATETIME,HOW_EXTINGUISHED,GAS_CONSUMED_BY_FIRE_IN_MCF,EXPLODE_IND,NUM_PUB_EVACUATED,INCIDENT_IDENTIFIED_DATETIME,COMMUNICATION_STATE_FED_IND,PARTY_INITIATED_COMMUNICATION,INITIAL_RESPONDER_COM_DATETIME,ON_SITE_DATETIME,FEDERAL,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,INCIDENT_AREA_DETAILS,DEPTH_OF_COVER,OTHER_UNDERGROUND_FACILITIES,CROSSING,BRIDGE_CROSSING_IND,BRIDGE_TYPE,WATER_CROSSING_IND,WATER_TYPE,WATER_NAME,WATER_DEPTH,PIPE_FACILITY_TYPE,PIPE_TYPE_OTHER,SYSTEM_PART_INVOLVED,SYSTEM_PART_DETAILS,INSTALLATION_YEAR,MANUFACTURED_YEAR,CUSTOMER_TYPE,WAS_EFV_INSTALLED_BEFORE_IND,EVF_ACTIVATION_IND,CURB_VALVE_INST_BEFORE_INC_IND,PIPE_DIAMETER,PIPE_SPECIFICATION,PIPE_MANUFACTURER,MATERIAL_INVOLVED,MATERIAL_DETAILS,STEEL_SEAM_TYPE,STEEL_SEAM_TYPE_DETAILS,WT_STEEL,PLASTIC_TYPE,PLASTIC_SDR,WT_PLASTIC,WT_PLASTIC_UNKNOWN_IND,MATERIAL_PE_PIPE_CODE,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,LEAK_TYPE_OTHER,RUPTURE_ORIENT,RUPTURE_DETAILS,RUPTURE_LENGTH,RUPTURE_WIDTH,RELEASE_TYPE_DETAILS,CLASS_LOCATION_TYPE,EST_COST_OPER_PAID,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_OTHER,EST_COST_OTHER_DETAILS,GAS_COST_IN_MCF,EST_COST_UNINTENTIONAL_RELEASE,EST_COST_INTENTIONAL_RELEASE,PRPTY,COMMERCIAL_AFFECTED,INDUSTRIAL_AFFECTED,RESIDENCES_AFFECTED,NUM_PERSONS_HOSP_NOT_OVNGHT,NUM_INJURED_TREATED_BY_EMT,NUM_RESIDENT_BUILDING_AFFCTD,NUM_BUSINESS_BUILDING_AFFCTD,ACCIDENT_PSIG,NORMAL_PSIG,MOP_PSIG,MOP_CFR_SECTION,MAOP_ESTABLISHED_DATE,ACCIDENT_PRESSURE,GAS_ODORIZED_SYSTEM_TYPE,GAS_ODORIZED_LEVEL,GAS_ODORIZED_LVL_NOT_MSRD_IND,SCADA_IN_PLACE_IND,SCADA_OPERATING_IND,SCADA_FUNCTIONAL_IND,SCADA_DETECTION_IND,SCADA_CONF_IND,ACCIDENT_IDENTIFIER,ACCIDENT_DETAILS,OPERATOR_TYPE,INVEST_SCHEDULE_IND,INVEST_NO_CONTROL_ROOM_IND,INVEST_NO_CONTROLLER_IND,EMPLOYEE_DRUG_TEST_IND,NUM_EMPLOYEES_TESTED,NUM_EMPLOYEES_FAILED,CONTRACTOR_DRUG_TEST_IND,CAUSE,CAUSE_DETAILS,NATURAL_FORCE_TYPE,EARTH_SUBTYPE,HEAVY_RAINS_SUBTYPE,LIGHTNING_SUBTYPE,TEMPERATURE_SUBTYPE,NF_OTHER_DETAILS,NF_EXTREME_WEATHER_IND,NF_HURRICANE_IND,NF_TROPICAL_STORM_IND,NF_TORNADO_IND,NF_OTHER_IND,NF_EXTREME_WEATHER_DETAILS,NF_HEAVY_RAINS_IND,NF_HIGH_WINDS_IND,NF_VEGITATION_ROOT_IND
7/15/2020,2020,6/19/2020 17:00,32.244389,-80.999985,,,,,,,,6/25/2020 14:39,NATURAL GAS,6996.1,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,0,6/19/2020 17:00,,,,6/19/2020 17:33,NO,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OTHER,VALVE STATION,2016,,,,,,,,,STEEL,,OTHER,ERW,0.28,,,,,,OTHER,,,,,,,,,"A TREE FELL ON A 2-IN TITAN Y CLASS 600 STRAINER, WHICH CAUSED THE GAS TO RELEASE FROM TWO LOCATIONS (UPSTREAM AND DOWNSTREAM) FROM TWO, APPROXIMATELY 2 INCH, PIPE OPENINGS.",CLASS 3 LOCATION,0,85000,2500,14500,TO RETIRE STATION:  MATERIAL $2000  LABOR $5000  TREE REMOVAL: $7500,,14000,,116000,0,0,0,,,,,300,300,587,,,PRESSURE DID NOT EXCEED MAOP,,,,YES,YES,YES,NO,YES,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",,OPERATOR EMPLOYEE,,,,NO,,,NO,NATURAL FORCE DAMAGE,HIGH WINDS,HIGH WINDS,,,,,",,,",NO,,,,,,,,
6/18/2020,2020,5/19/2020 22:41,43.80576,-84.386069,,,,YES,YES,,,5/21/2020 20:02,NATURAL GAS,447,0,NO,,,,,,0,NO,,,,,,0,NO,,,,,0,5/19/2020 22:41,,,,5/19/2020 22:16,NO,UTILITY RIGHT-OF-WAY / EASEMENT,UNDERGROUND,UNDER SOIL,,36,NO,YES,YES,UNCASED,,,,,PRIVATELY OWNED,,MAIN,,1968,,,,,,4,API 5L,UNKNOWN,STEEL,,OTHER,UNKNOWN,UNKNOWN,,,,,,LEAK,,,OTHER,SEVERED-EROSION/DEBRIS,,,,,,CLASS 3 LOCATION,0,3965252,996,0,,2,894,0,3967142,26,0,450,0,0,450,26,55,55,60,192.619(A)(2),01-01-1968,PRESSURE DID NOT EXCEED MAOP,INJECTION PUMP,,YES,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,HEAVY RAINS/FLOODS,,WASHOUTS/SCOURING,,,,YES,,,,YES,CONSIDERABLE RAINFALL OVER MULTIPLE DAYS CAUSED A LEVEE BREACH RESULTING IN SIGNIFICANT FLOODING IN MID-MICHIGAN AREA.,,,
03-11-2020,2020,2/17/2020 6:30,39.192124,-106.826324,,,,,,YES,USED THE NO-BLOW MACHINE TO STOP THE FLOW OF GAS.,2/17/2020 7:06,NATURAL GAS,10.52,0,NO,,,,,,0,YES,0,0,0,0,1,1,YES,2/16/2020 10:55,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,1,YES,2,2/17/2020 10:55,,,,2/16/2020 11:30,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,PRIVATELY OWNED,,SERVICE RISER,,UNKNOWN,UNKNOWN,SINGLE FAMILY RESIDENTIAL,NO,,NO,,,,STEEL,,SEAMLESS,,UNKNOWN,,,,,,LEAK,,,CRACK,,,,,,,CLASS 3 LOCATION,0,300,2100,0,,4.943,52,0,2452,0,0,1,0,0,1,0,38,38,40,192.619(A)(1),2/16/2020,PRESSURE DID NOT EXCEED MAOP,ODORIZED BY OTHERS,3.2,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,SNOW/ICE IMPACT OR ACCUMULATION,SNOW/ICE IMPACT OR ACCUMULATION,,,,,,NO,,,,,,,,
2/25/2020,2020,01-11-2020 04:15,40.646379,-88.774788,,,,,,,,01-11-2020 10:05,NATURAL GAS,11.9,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,4,01-11-2020 02:49,,,,01-11-2020 04:15,NO,PRIVATE PROPERTY,UNDERGROUND,UNDER SOIL,,24,,NO,,,,,,,INVESTOR OWNED,,SERVICE,,1979,,,,,,0.625,ASTM D2513,SAMUEL MOORE & CO.,OTHER,PLASTIC/ALUMINUM COMPOSITE PIPE,,,,,,,,,RUPTURE,,,,,CIRCUMFERENTIAL,,0.6,0.6,,CLASS 3 LOCATION,75000,100,500,0,,,31,,75631,0,0,1,,,,,52,52,60,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,,NO,,,,,,,,
9/17/2019,2019,8/18/2019 1:41,43.957957,-94.797298,,,,,,,,8/20/2019 10:20,NATURAL GAS,108,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,200,8/18/2019 1:41,,,,8/18/2019 2:46,NO,UTILITY RIGHT-OF-WAY / EASEMENT,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,DISTRICT REGULATOR/METERING STATION,,1991,,,,,,,,,STEEL,,SEAMLESS,SEAMLESS,UNKNOWN,,,,,,LEAK,,,CRACK,,,,,,,CLASS 3 LOCATION,0,98016,25960,0,"NEW REGULATOR STATION, FINAL RESTORATION COMPLETED IN LATE SUMMER 2020",,450,,124426,21,8,217,,,,,33,33,35,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HIGH WINDS,HIGH WINDS,,,,,,YES,,,,YES,THUNDERSTORMS,,,
08-12-2019,2019,7/20/2019 11:54,44.8729794,-93.4568951,,,,,,,,7/20/2019 14:07,NATURAL GAS,8.09,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,0,7/20/2019 11:35,,,,7/20/2019 11:54,NO,PUBLIC PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,SERVICE RISER,,1974,,,,,,,,,COPPER,,,,,,,,,,LEAK,,,PINHOLE,,,,,,,CLASS 3 LOCATION,50000,200,1600,0,,,50,,51850,0,0,0,,,,,50,50,55,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,SECONDARY IMPACT SUCH AS RESULTING NEARBY FIRES,,",,,",NO,,,,,,,,
07-12-2019,2019,07-12-2019 02:32,34.043235,-83.973394,,,,,,,,07-12-2019 05:08,NATURAL GAS,116,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,0,07-12-2019 02:32,,,,07-12-2019 03:35,NO,PUBLIC PROPERTY,UNDERGROUND,UNDER SOIL,,36,,NO,,,,,,,MUNICIPALLY OWNED,,MAIN,,UNKNOWN,,,,,,2,UNKNOWN,UNKNOWN,PLASTIC,,,,,POLYETHYLENE (PE),11,,,2406,LEAK,,,PINHOLE,,,,,,,CLASS 2 LOCATION,0,200,2643,0,,,100,,2943,0,0,1,,,,,60,60,60,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,",,,",NO,,,,,,,,
08-01-2019,2019,07-05-2019 20:30,35.620212,-117.811741,,,,,,,,07-07-2019 21:57,NATURAL GAS,1,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,0,07-05-2019 20:22,,,,07-04-2019 10:33,NO,UTILITY RIGHT-OF-WAY / EASEMENT,UNDERGROUND,UNDER PAVEMENT,,,,NO,,,,,,,PRIVATELY OWNED,,MAIN,,1987,,,,,,4,UNKNOWN,UNKNOWN,PLASTIC,,,,,UNKNOWN,,,UNKNOWN,,OTHER,,,,,,,,,MULTIPLE LEAKS ACROSS VARYING AREAS,CLASS 3 LOCATION,0,0,2670000,0,,,9,,2670009,0,0,157,,,,,51,51,55,,,PRESSURE DID NOT EXCEED MAOP,,,,YES,YES,YES,NO,NO,OTHER,NOTIFIED VIA DISPATCH,,,,,NO,,,NO,NATURAL FORCE DAMAGE,"EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS","EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS",EARTHQUAKE,,,,,NO,,,,,,,,
08-01-2019,2019,07-01-2019 01:09,44.6952068,-93.2368961,,,,,,,,07-01-2019 04:18,NATURAL GAS,0.01,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,0,07-01-2019 01:09,,,,07-01-2019 01:52,NO,PUBLIC PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,2006,,,,,,,,,OTHER,DIE-CAST ALUMINIUM,,,,,,,,,OTHER,,,,,,,,,HEAT FROM A FIRE CAUSED BY A LIGHTNING STRIKE WEAKENED THE BACK OF THE METER CAUSING IT TO BURST AND RELEASE A SMALL AMOUNT OF GAS.,CLASS 3 LOCATION,50000,400,1500,0,0,,0,,51900,0,0,1,,,,,2,2,2,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,SECONDARY IMPACT SUCH AS RESULTING NEARBY FIRES,,",,,",NO,,,,,,,,
7/23/2019,2019,6/23/2019 23:08,36.599561,-94.449958,,,,,,,,6/24/2019 10:36,NATURAL GAS,74.49,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,0,6/23/2019 23:15,,,,6/24/2019 23:45,NO,UTILITY RIGHT-OF-WAY / EASEMENT,UNDERGROUND,UNDER SOIL,,48,,NO,,,,,,,INVESTOR OWNED,,MAIN,,1969,,,,,,2,UNKNOWN,UNKNOWN,STEEL,,OTHER,UNKNOWN,UNKNOWN,,,,,,RUPTURE,,,,,CIRCUMFERENTIAL,,6.5,2.1,,CLASS 2 LOCATION,0,140077,500,0,,,368,,140945,10,0,75,,,,,50,50,55,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM PUBLIC,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,HEAVY RAINS/FLOODS,,OTHER,,,"FLOODING CAUSED TREE TO OVERTURN, THE TREE'S ROOT SYSTEM THEN FRACTURED 2 INCH DISTRIBUTION MAIN.",NO,,,,,,,,
5/31/2019,2019,05-01-2019 00:08,38.635086,-90.432765,,,,,,,,05-01-2019 08:49,NATURAL GAS,4.93,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,1,05-01-2019 00:08,,,,05-01-2019 00:31,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,UNKNOWN,,,,,,,,,STEEL,,OTHER,UNKNOWN,UNKNOWN,,,,,,LEAK,,,OTHER,LIGHTNING STRIKE CREATED HOLE,,,,,,CLASS 3 LOCATION,150000,642,500,0,,,23,,151165,0,0,1,,,,,21,21,60,,,PRESSURE DID NOT EXCEED MAOP,,,,YES,YES,YES,NO,NO,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,,NO,,,,,,,,
05-10-2019,2019,4/17/2019 13:17,44.620435,-93.452157,,,,,,,,4/17/2019 14:55,NATURAL GAS,1,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,2,4/17/2019 13:17,,,,4/17/2019 13:45,NO,PRIVATE PROPERTY,UNDERGROUND,UNDER SOIL,,18,,NO,,,,,,,INVESTOR OWNED,,OTHER,METER SET RISER AND SERVICE LINE,1999,,,,,,,,,OTHER,MULTIPLE,,,,,,,,,LEAK,,,PINHOLE,,,,,,,CLASS 1 LOCATION,50000,7000,3413,0,,,4,,60417,0,0,1,,,,,70,70,76,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,",,,",NO,,,,,,,,
7/19/2019,2019,4/17/2019 12:47,44.715935,-93.398632,,,,,,,,4/17/2019 14:31,NATURAL GAS,16,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,1,4/17/2019 12:47,,,,4/17/2019 13:15,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,UNKNOWN,,,,,,,,,COPPER,,,,,,,,,,LEAK,,,OTHER,LIGHTNING STRIKE,,,,,,CLASS 3 LOCATION,130000,2877,2490,0,,,141,,135508,0,0,1,,,,,50,50,55,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,SECONDARY IMPACT SUCH AS RESULTING NEARBY FIRES,,,NO,,,,,,,,
08-07-2020,2019,03-09-2019 07:27,40.548839,-80.245529,,,,,,,,03-09-2019 11:38,NATURAL GAS,113,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,0,03-09-2019 07:27,,,,03-09-2019 08:07,NO,UTILITY RIGHT-OF-WAY / EASEMENT,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,PRIVATELY OWNED,,DISTRICT REGULATOR/METERING STATION,,2018,,,,,,,,,STEEL,,OTHER,ERW,0.28,,,,,,LEAK,,,CONNECTION FAILURE,,,,,,,CLASS 2 LOCATION,0,4618,63388,0,,,459,,68465,0,0,980,,,,,33,33,40,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM PUBLIC,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,HEAVY RAINS/FLOODS,,OTHER,,,",,,,,SEVERAL DAYS OF HEAVY RAINS PRIOR TO THE INCIDENT, SATURATED THE SOIL, CAUSING AN OVER BURDEN ON THE INLET PIPE. SEE PART H.,,,,,,,,,,",NO,,,,,,,,
11/26/2018,2018,10-11-2018 12:00,31.171145,-84.740584,,,,,,,,10-11-2018 12:00,NATURAL GAS,124,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,0,10-10-2018 23:32,,,,10-10-2018 23:35,NO,UTILITY RIGHT-OF-WAY / EASEMENT,UNDERGROUND,OTHER,BROKEN LINES DUE TO HURRICANE MICHAEL,24,,NO,,,,,,,MUNICIPALLY OWNED,,SERVICE,,UNKNOWN,,,,,,1,ASTM D2513,DRISCOPIPE,PLASTIC,,,,,POLYETHYLENE (PE),,0.09,,2406,OTHER,,,,,,,,,TREES UPROOTING SERVICE DUE TO HURRICANE MICHAEL.,CLASS 3 LOCATION,0,2500,4000,0,,,1600,,8100,36,2,55,,,,,21,21,21,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HIGH WINDS,HIGH WINDS,,,,,,YES,YES,,,,,,,
11-07-2018,2018,10-07-2018 17:50,39.058136,-94.909503,,,,,,,,10-08-2018 11:28,NATURAL GAS,75,,NO,,,,,,0,NO,,,,,,0,YES,,,,YES,0,10-07-2018 18:12,,,,10-07-2018 18:30,NO,UTILITY RIGHT-OF-WAY / EASEMENT,UNDERGROUND,UNDER SOIL,,40,,NO,,,,,,,INVESTOR OWNED,,MAIN,,1976,,,,,,4,ASTM D2513,DRISCOPIPE,PLASTIC,,,,,POLYETHYLENE (PE),9.33,,,3306,LEAK,,,OTHER,UNDER INVESTIGATION,,,,,,CLASS 2 LOCATION,100000,10000,10000,0,,,300,,120300,4,0,30,,,,,58,58,60,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM PUBLIC,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,"EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS","EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS",SUBSIDENCE,,,,,NO,,,,,,,,
10/18/2018,2018,9/20/2018 9:40,36.22191,-115.32369,,,,,,,,9/20/2018 11:43,NATURAL GAS,9,,NO,,,,,,0,NO,,,,,,0,NO,,,,NO,11,9/20/2018 9:40,,,,9/20/2018 9:40,NO,PUBLIC PROPERTY,UNDERGROUND,UNDER PAVEMENT,,96,,NO,,,,,,,INVESTOR OWNED,,MAIN,,1998,,,,,,2,ASTM D2513,PHILLIPS,PLASTIC,,,,,POLYETHYLENE (PE),11,,,3408,LEAK,,,SEAL OR PACKING,,,,,,,CLASS 3 LOCATION,400,105,120603,0,,,20,,121128,48,0,1674,,,,,55,55,60,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",,CONTRACTOR WORKING FOR THE OPERATOR,,,,NO,,,NO,NATURAL FORCE DAMAGE,TEMPERATURE,TEMPERATURE,,,,THERMAL STRESS,,NO,,,,,,,,
09-06-2018,2018,05-12-2018 04:35,41.115336,-95.954891,,,,,,,,08-08-2018 11:07,NATURAL GAS,4,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,6,05-12-2018 04:35,,,,05-12-2018 05:00,NO,UTILITY RIGHT-OF-WAY / EASEMENT,UNDERGROUND,UNDER SOIL,,52,,NO,,,,,,,MUNICIPALLY OWNED,,SERVICE,,1977,,,,,,0.625,UNKNOWN,X-TRUBE,STEEL,,,,UNKNOWN,,,,,,OTHER,,,,,,,,,LIGHTNING STRIKE,CLASS 3 LOCATION,100000,2500,3000,0,,,12,,105512,0,0,1,,,,,60,60,99,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,",,,",NO,,,,,,,,
06-11-2018,2018,05-12-2018 04:03,42.63454,-83.087184,,,,,,,,05-12-2018 10:05,NATURAL GAS,4.5,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,2,05-12-2018 04:03,,,,05-12-2018 04:46,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,PRIVATELY OWNED,,OUTSIDE METER/REGULATOR SET,,2007,,,,,,,,,OTHER,ALUMINUM,,,,,,,,,LEAK,,,OTHER,"3/8"" HOLE (LIGHTNING STRIKE)",,,,,,CLASS 3 LOCATION,50000,800,504,0,,,13,,51317,0,0,1,,,,,53,53,60,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,",,,",YES,,,,YES,LIGHTNING/THUNDER STORM,,,
03-09-2018,2018,02-08-2018 23:52,41.511057,-81.450219,,,,,,,,02-09-2018 04:02,NATURAL GAS,105,,NO,,,,,,0,NO,,,,,,0,YES,,,,NO,48,02-08-2018 23:52,,,,02-09-2018 00:39,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,1988,,,,,,,,,OTHER,SERVICE REGULATOR,,,,,,,,,LEAK,,,OTHER,ICE ACCUMULATED AT VENT,,,,,,CLASS 3 LOCATION,80000,5311,370,0,,,273,,85954,0,0,36,,,,,31,31,35,,,PRESSURE DID NOT EXCEED MAOP,,,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,TEMPERATURE,TEMPERATURE,,,,FROZEN COMPONENTS,",,,",NO,,,,,,,,
2/16/2018,2018,1/20/2018 8:15,40.5864732,-73.9868439,,,,,,,,1/20/2018 15:46,NATURAL GAS,35,,NO,,,,,,0,YES,0,0,0,0,1,1,YES,,,,YES,9,1/20/2018 8:45,,,,1/20/2018 9:21,NO,PRIVATE PROPERTY,ABOVEGROUND,INSIDE A BUILDING,,,,NO,,,,,,,INVESTOR OWNED,,MAIN,,1927,,,,,,6,UNKNOWN,UNKNOWN,CAST/WROUGHT IRON,,,,,,,,,,LEAK,,,CRACK,,,,,,,CLASS 4 LOCATION,75000,24000,7342,0,,,216,,106558,0,0,1,,,,,0.3,0.31,0.43,,,PRESSURE DID NOT EXCEED MAOP,,,,YES,YES,YES,NO,NO,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,TEMPERATURE,TEMPERATURE,,,,FROST HEAVE,",,,",NO,,,,,,,,
